Time,Value,CLV,ModuleType
0,2535.6,2535.6,0
10,1385.3,3920.9,0
20,887.24,4808.14,0
30,1041.24,5849.38,0
40,1847.76,7697.14,0
50,3306.35,11003.49,0
60,5417.16,16420.65,0
70,8180.19,24600.84,0
80,11595.44,36196.28,0
90,15662.91,51859.19,0
0,70000,70000,1
10,70000,140000,1
20,71000,211000,1
30,79000,290000,1
40,120000,410000,1
50,280000,690000,1
60,930000,1620000,1
70,3900000,5520000,1
0,6000,6000,2
10,6100,12100,2
20,6600,18700,2
30,8000,26700,2
40,12000,38700,2
50,28000,66700,2
60,97000,163700,2
70,560000,723700,2
0,7000,7000,3
10,6100,13100,3
20,6600,19700,3
30,8000,27700,3
40,12000,39700,3
50,28000,67700,3
90,1100000,1167700,3
